date,portfolio_nav,benchmark_nav,drawdown
2019-01-02,1.0,1.0,0.0
2019-01-03,1.0,0.9984196178863022,0.0
2019-01-04,1.0,1.0223398612914143,0.0
2019-01-07,1.0,1.028545883446398,0.0
2019-01-08,1.0,1.026323649999074,0.0
2019-01-09,1.0,1.0366862151818383,0.0
2019-01-10,1.0,1.0347364149605915,0.0
2019-01-11,1.0,1.0421759635767889,0.0
2019-01-14,1.0,1.0330859882102754,0.0
2019-01-15,1.0,1.0533602062275744,0.0
2019-01-16,1.0,1.0535831367537343,0.0
2019-01-17,1.0,1.0477791977531836,0.0
2019-01-18,1.0,1.0668922912173118,0.0
2019-01-21,1.0,1.0727726731626333,0.0
2019-01-22,1.0,1.0585216203883774,0.0
2019-01-23,1.0,1.057759211459033,0.0
2019-01-24,1.0,1.063729506471552,0.0
2019-01-25,1.0,1.0723800190938986,0.0
2019-01-28,1.0,1.0721469859759187,0.0
2019-01-29,1.0,1.0755791731702102,0.0
2019-01-30,1.0,1.0669963479130573,0.0
2019-01-31,1.0,1.0781597118740813,0.0
2019-02-01,1.0,1.093570878942326,0.0
2019-02-11,1.0,1.113464902754135,0.0
2019-02-12,1.0,1.1215005042877084,0.0
2019-02-13,1.0,1.1439595761625978,0.0
2019-02-14,1.0,1.1456810578087142,0.0
2019-02-15,1.0,1.1243191274054691,0.0
2019-02-18,1.0,1.1603651750189845,0.0
2019-02-19,1.0,1.1582985214856873,0.0
2019-02-20,1.0,1.1624469824400117,0.0
2019-02-21,1.0,1.1593417824676255,0.0
2019-02-22,1.0,1.1854105103997765,0.0
2019-02-25,1.0,1.2559148149457744,0.0
2019-02-26,1.0,1.2408319821116776,0.0
2019-02-27,1.0,1.2387097643233704,0.0
2019-02-28,1.0,1.2356715782100565,0.0
2019-03-01,1.0,1.2627276661160756,0.0
2019-03-04,1.0,1.2776761344789673,0.0
2019-03-05,1.0,1.2850540572850633,0.0
2019-03-06,1.0,1.2958560852119947,0.0
2019-03-07,1.0,1.2826418951115242,0.0
2019-03-08,1.0,1.2317009228717628,0.0
2019-03-11,1.0,1.256073762390408,0.0
2019-03-12,1.0,1.2646262798721013,0.0
2019-03-13,1.0,1.2541337280079206,0.0
2019-03-14,1.0,1.2454764803243605,0.0
2019-03-15,1.0,1.2611418959534069,0.0
2019-03-18,1.0,1.2970879279079048,0.0
2019-03-19,1.0,1.2910987747239888,0.0
2019-03-20,1.0,1.2915961589945901,0.0
2019-03-21,1.0,1.292084787685614,0.0
2019-03-22,1.0,1.2910442207281612,0.0
2019-03-25,1.0,1.2604077742811586,0.0
2019-03-26,1.0,1.246134159051838,0.0
2019-03-27,1.0,1.2605973662543126,0.0
2019-03-28,1.0,1.2555484276157716,0.0
2019-03-29,0.9987019041912181,1.3040226836861664,-0.12980958087819294
2019-04-01,1.0521785114278,1.3382324168598787,0.0
2019-04-02,1.0365945293808319,1.3373423785205427,-1.4811157876452659
2019-04-03,1.0405801920895497,1.3544736802226613,-1.1023147890096552
2019-04-04,1.0320540574540877,1.3679687223757255,-1.9126463575466337
2019-04-08,1.0097382253652436,1.3662842835662823,-4.033563278627039
2019-04-09,1.0117895870116418,1.3724135260234347,-3.8386000072697386
2019-04-10,1.0134000457537697,1.3759214826563757,-3.6855405478114225
2019-04-11,0.9848062722010902,1.3461966267445913,-6.403118719397343
2019-04-12,0.9818112034980736,1.3431789825679779,-6.687772765311309
2019-04-15,0.986508598872282,1.3387698747446992,-6.241328048641122
2019-04-16,1.0498257484144038,1.375901950978857,-0.22360873063292916
2019-04-17,1.039340787728406,1.376390579669881,-1.220108903571243
2019-04-18,1.0362177186999681,1.3712837195049057,-1.5169282165032145
2019-04-19,1.032553146741927,1.3876273557981302,-1.8652124589810655
